"Year","Country","Region","Location Name","Latitude","Longitude","Focal Depth (km)","Mag","Ms","MMI Int","Deaths","Death Description","Damage Description","Houses Destroyed Description"
"1139","AZERBAIJAN","40","AZERBAIJAN:  GYZNDZHA","40.3","46.3","","","","11","230000","4","4","4"
"1143","CHINA","30","CHINA:  NINGXIA","38.5","106.3","","6","6","8","10000","4","3","3"
"1151","PORTUGAL","130","PORTUGAL:  LISBON","38.7","-9.1","","","","","1000","3","1",""
"1156","SYRIA","140","SYRIA:  HALAB (ALEPPO), MALATICH","36.2","37.2","","","","","2000","4","3","3"
"1157","SYRIA","140","SYRIA:  HALAB (ALEPPO)","35.1","36.3","","","","","8000","4","4",""
"1158","SYRIA","140","SYRIA:  MALATYA,DIMASHQ; LEBANON; TURKEY:  ANTAKYA","38.4","38.35","","","","","20000","4","4","4"
"1169","ITALY","130","ITALY:  SICILY:  SIRACUSA (SYRACUSE); CALABRIA","37.3","15.03","","","","11","16000","4","3","3"
"1169","SYRIA","140","SYRIA:  HALAB (ALEPPO),DIMASHQ (DAMASCUS)","36.2","37.2","","","","10","80000","4","3",""
"1175","IRAN","140","IRAN:  REY (RAY),QAZVIN","35.3","51.2","","","","","","3","3",""
"1183","SYRIA","140","SYRIA:  DIMASHQ; TURKEY: ANTAKYA; LEBANON: TRIPOLI","34.5","36.5","","","","","20000","4","3",""
"1202","SYRIA","140","SYRIA:  SOUTHWESTERN","33.5","36","","7.6","7.6","11","30000","4","4","4"
"1208","TURKMENISTAN","40","TURKMENISTAN:  GURGANDZHE","42","60","10","6.1","","9","2000","4","3",""
"1209","CHINA","30","CHINA:  SHAANXI PROVINCE:  FUSHAN","36","111.8","","6.3","6.3","9","3000","4","3","3"
"1219","CHINA","30","CHINA:  NINGXIA","36","106.2","","6.5","6.5","9","10000","4","4",""
"1222","ITALY","130","ITALY:  BRESCIA","45.55","10.22","","","","10","12000","4","4","4"
"1227","FRANCE","120","FRANCE:  LAMBESC,  HIGH ALPS,PROVENCE","43.6","5.3","","","","11","5000","4","3",""
"1248","ITALY","130","ITALY:  SABAUDIA","41","13","","","","","9000","4","4",""
"1255","NEPAL","60","NEPAL:  KATHMANDU","27.7","85.3","","","","","","3","3","3"
"1268","TURKEY","140","TURKEY:  ERZINCAN","39.75","39.5","","","","9","15000","4","3","3"
"1269","TURKEY","140","TURKEY:  CICILIA, CEYHAN (SEYHAN)","","","","","","","8000","4","3",""
"1272","IRAN","140","IRAN:  TABRIZ","38","46.2","","","","","250","3","2",""
"1275","GEORGIA","40","GEORGIA","42.1","44.2","28","6.7","","","","3","3",""
"1276","MOROCCO","15","MOROCCO:  EL ARAISH (LARACHE)","35.1","-6.1","","","","","","3","3",""
"1277","ITALY","130","ITALY:  VERONA","45.3","11","","5.1","","","","2","2",""
"1289","CHINA","30","CHINA:  BEIJING","40","116.5","","","","","10000","4","4",""
"1290","CHINA","30","CHINA:  NEI MONGOL:  NINGCHENG","41.5","119.3","","6.8","6.8","9","100000","4","3",""
"1291","CHINA","30","CHINA:  SHAANXI PROVINCE","36.1","111.5","","6.5","6.5","8","150","3","3",""
"1293","JAPAN","30","JAPAN:  KAMAKURA","35.2","139.4","","7.1","7.1","","23024","4","3",""
"1295","SWITZERLAND","120","SWITZERLAND","46.9","9.5","","","","8","","3","3",""
"1295","SWITZERLAND","120","SWITZERLAND","46.9","9.5","","","","8","","2","3",""
"1303","GREECE","130","GREECE:  CRETE","35","27","","8","8","9","4000","4","3","3"
"1303","CHINA","30","CHINA:  SHANXI PROVINCE","36.3","111.7","","8","8","11","","4","4","4"
"1305","CHINA","30","CHINA:  SHANXI PROVINCE:  HUAIREN, DATONG","39.8","113.1","","6.5","6.5","9","2000","4","3","4"
"1306","CHINA","30","CHINA:  NINGXIA:  KAICHENG","35.9","106.1","","6.5","6.5","9","5000","4","3","3"
"1310","CHINA","30","CHINA:  HUBEI PROVINCE:  KIN MEN","31.2","112.2","","","","","3466","4","3","4"
"1310","IRAQ","140","IRAQ:  SHAHRIZUR, SULAIMANIYA, BAGHDAD","35.6","46","","5.5","5.5","7","","3","3","3"
"1314","CHINA","30","CHINA:  HEBEI:  SHEXIAN","36.5","113.8","","6","6","8","340","3","2","2"
"1319","IRAN","140","IRAN:  ST THADDEUS; ARMENIA:  ARARAT, SINI, ANI","39.1","44.5","","","","7","75","2","3","3"
"1328","ITALY","130","ITALY:  NORCIA","42.8","13","","","","10","5000","4","3",""
"1336","IRAN","140","IRAN:  KHAF","34.7","59.7","","7.6","","","20000","4","3",""
"1339","LEBANON","140","LEBANON:  TARABULUS (TRIPOLIS)","34.3","35.5","","","","8","60","2","2",""
"1340","CHINA","30","CHINA:  GANSU PROVINCE:  TAO YUEN CHAN","29","111.3","","","","","360","3","1",""
"1344","SYRIA","140","SYRIA:  MEMBIJ, ALEPPO, DIMASHQ  (DAMASCUS)","36.527","37.956","","","","9","5700","4","4","4"
"1344","IRAN","140","IRAN:  ESFAHAN","32.6","51.7","","","","","20","1","1",""
"1345","ITALY","130","ITALY:  FIRENZE (FLORENCE)","43.8","11.3","","","","","","3","3",""
"1347","CHINA","30","CHINA:  SHANDONG PROVINCE:  LINTOU, CHINGCHOU","36.9","118.2","","","","","","3","3",""
"1348","AUSTRIA","120","AUSTRIA:VILLACH; ITALY:VENETO; SLOVENIA:CELOVAC","46.4","13.5","","","","10","5000","4","4",""
"1349","ITALY","130","ITALY:  L'AQUILA, ABRUZZI, SANNIO","42.3","13.5","","","","10","2000","4","3","3"
"1352","ITALY","130","ITALY:  SANSEPOLCRO","43.5","12.1","","","","11","2000","4","3",""
"1354","SYRIA","140","SYRIA:  HAMAH (HAMA),HIMS (HUMS),BALABAKK","35.1","36.4","","","","7","24","1","2",""
"1356","SWITZERLAND","120","SWITZERLAND:  BASEL","47.4","7.6","","","","10","300","3","4",""
"1358","YEMEN","60","YEMEN:  ZABID,SANA,ADAN","14.1","43.2","","","","8","61","2","2",""
"1361","ITALY","130","ITALY:  BASILICATA TO POUILLES","40.3","15.6","","","","10","4000","4","3",""
"1365","ALGERIA","15","ALGERIA:  ALGIERS","36.8","3","","","","","","3","3","3"
"1368","CHINA","30","CHINA:  SHANXI PROVINCE: XUGOU","37.6","112.5","","6","6","7","","2","3",""
"1375","SWITZERLAND","120","SWITZERLAND","46.9","8.4","","","","8","","3","3",""
"1387","YEMEN","60","YEMEN:  ADEN (ADAN)","12.4","45.1","","","","","","3","3",""
"1389","IRAN","140","IRAN:  NEYSHABUR","36.2","58.5","10","5.8","","9","","3","3",""
"1390","UZBEKISTAN","40","UZBEKISTAN:  BUKHARA","39.8","64.4","20","6.1","6.1","8","","1","2",""
"1405","IRAN","140","IRAN:  NEYSHABUR (NISHAPUR)","36","58.8","15","6.7","","9","","3","4",""
"1408","TURKEY","140","TURKEY:  ANTIOCH; SYRIA: ALEPPO; LEBANON: TRIPOLIS","36.2","36.1","","","","10","","3","3",""
"1414","ITALY","130","ITALY:  SANSEPOLCRO","43.5","12.1","","","","10","200","3","2",""
"1426","YEMEN","60","YEMEN:  ZABID,BAHRAIN","14.1","43.2","","","","11","60","2","3",""
"1427","SPAIN","130","SPAIN:  OLOT,BARCELONA","41.7","2.2","","","","11","","3","3",""
"1428","FRANCE","120","FRANCE:  PRATS DE MOLLO; SPAIN: OLOT","43.4","4.4","","","","9","600","3","2",""
"1433","JAPAN","30","TOKAIDO, JAPAN","34.9","139.5","","7.1","7.1","","","3","3",""
"1440","CHINA","30","CHINA:  GANSU PROVINCE:  YONGDENG","36.2","103.3","","6.3","6.3","8","200","3","2","2"
"1445","CHINA","30","CHINA:  FUJIAN PROVINCE:  ZHANGZHOU","24.5","117.6","","6.3","6.3","8","","3","3","3"
"1447","ITALY","130","ITALY:  ROMA (ROME)","41.9","12.6","","","","","","3","3",""
"1455","SOUTH KOREA","30","SOUTH KOREA:  KWANGJU","35.9","126.5","","6.3","","8","","3","2",""
"1456","ITALY","130","ITALY:  AVELLINO,NAPOLI,ABRUZZI, BRINDISI,BENEVENTO","40.4","14.5","","","","11","30000","4","4",""
"1458","ISRAEL","140","ISRAEL:  PALESTINE:  JORDAN:  AL-KARAK (KARAK)","31.2","34.2","","","","8","100","2","2","3"
"1478","CHINA","30","CHINA:  SICHUAN PROVINCE:  YANYUAN","27.5","101.6","","5.5","5.5","7","","3","2","2"
"1481","GREECE","130","GREECE:  RHODES","36","28","","7.1","7.1","10","","3","3",""
"1481","CHINA","30","CHINA:  YUNNAN PROVINCE:","26.5","99.9","","6","6","8","","3","3","3"
"1481","GREECE","130","GREECE:  RHODES","36","28","","","","","","3","3",""
"1482","TURKEY","140","TURKEY:  ERZINCAN,ERZURUM","39.9","40.4","","7.5","","10","30000","4","3",""
"1484","CHINA","30","CHINA:  BEIJING","40.5","116.5","","6.8","6.8","9","","2","2","2"
"1484","IRAN","140","IRAN:  GILAN,DILAMAN,KARAJIAN,SHAKUR,GULIJAN","37","49","","","","","","3","3",""
"1487","CHINA","30","CHINA:  SHAANXI PROVINCE:  LINTONG, XIANYANG","34.4","108.9","","6.3","6.3","8","1900","4","3","3"
"1488","CHINA","30","CHINA:  SICHUAN PROVINCE:  MAOWEN","31.7","103.9","","5.5","5.5","7","","2","1","1"
"1491","GREECE","130","GREECE:  KOS","36.9","27","","","","","5000","4","3",""
